cnpj,codigo,descricao
36169783000189,4789099,Comércio varejista de outros produtos não especificados anteriormente
61198164000321,0,
40222993000160,4744001,Comércio varejista de ferragens e ferramentas
40222993000160,4744099,Comércio varejista de materiais de construção em geral
40222993000160,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
07124577000154,4511102,"Comércio a varejo de automóveis, camionetas e utilitários usados"
07124577000154,4512901,Representantes comerciais e agentes do comércio de veículos automotores
07124577000154,4520001,Serviços de manutenção e reparação mecânica de veículos automotores
07124577000154,4520002,Serviços de lanternagem ou funilaria e pintura de veículos automotores
07124577000154,4520003,Serviços de manutenção e reparação elétrica de veículos automotores
07124577000154,4520004,Serviços de alinhamento e balanceamento de veículos automotores
07124577000154,4520005,"Serviços de lavagem, lubrificação e polimento de veículos automotores"
07124577000154,4520007,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores"
07124577000154,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores
07124577000154,4530705,Comércio a varejo de pneumáticos e câmaras-de-ar
07124577000154,4732600,Comércio varejista de lubrificantes
07124577000154,6463800,"Outras sociedades de participação, exceto holdings"
07124577000154,7490104,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários"
07124577000154,7711000,Locação de automóveis sem condutor
07124577000154,7719599,"Locação de outros meios de transporte não especificados anteriormente, sem condutor"
22296587000160,1811301,Impressão de jornais
22296587000160,1811302,"Impressão de livros, revistas e outras publicações periódicas"
22296587000160,1812100,Impressão de material de segurança
22296587000160,1813001,Impressão de material para uso publicitário
22296587000160,1813099,Impressão de material para outros usos
22296587000160,1821100,Serviços de pré-impressão
22296587000160,1822999,"Serviços de acabamentos gráficos, exceto encadernação e plastificação"
22296587000160,1830001,Reprodução de som em qualquer suporte
22296587000160,1830002,Reprodução de vídeo em qualquer suporte
22296587000160,1830003,Reprodução de software em qualquer suporte
22296587000160,4329101,Instalação de painéis publicitários
22296587000160,4619200,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
22296587000160,5812301,Edição de jornais diários
22296587000160,5813100,Edição de revistas
22296587000160,5819100,"Edição de cadastros, listas e de outros produtos gráficos"
22296587000160,5821200,Edição integrada à impressão de livros
22296587000160,5822101,Edição integrada à impressão de jornais diários
22296587000160,5823900,Edição integrada à impressão de revistas
22296587000160,5911101,Estúdios cinematográficos
22296587000160,5911102,Produção de filmes para publicidade
22296587000160,5912001,Serviços de dublagem
22296587000160,5913800,"Distribuição cinematográfica, de vídeo e de programas de televisão"
22296587000160,5914600,Atividades de exibição cinematográfica
22296587000160,5920100,Atividades de gravação de som e de edição de música
22296587000160,6010100,Atividades de rádio
22296587000160,6021700,Atividades de televisão aberta
22296587000160,6022501,Programadoras
22296587000160,6120501,Telefonia móvel celular
22296587000160,6130200,Telecomunicações por satélite
22296587000160,6141800,Operadoras de televisão por assinatura por cabo
22296587000160,6142600,Operadoras de televisão por assinatura por microondas
22296587000160,6143400,Operadoras de televisão por assinatura por satélite
22296587000160,6190601,Provedores de acesso às redes de comunicações
22296587000160,6190602,Provedores de voz sobre protocolo internet - VOIP
22296587000160,6203100,Desenvolvimento e licenciamento de programas de computador não-customizáveis
22296587000160,6204000,Consultoria em tecnologia da informação
22296587000160,6209100,"Suporte técnico, manutenção e outros serviços em tecnologia da informação"
22296587000160,6311900,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet"
22296587000160,6319400,"Portais, provedores de conteúdo e outros serviços de informação na internet"
22296587000160,6391700,Agências de notícias
22296587000160,6920601,Atividades de contabilidade
22296587000160,6920602,Atividades de consultoria e auditoria contábil e tributária
22296587000160,7020400,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica"
22296587000160,7319003,Marketing direto
22296587000160,7420003,Laboratórios fotográficos
22296587000160,7420004,Filmagem de festas e eventos
22296587000160,7420005,Serviços de microfilmagem
22296587000160,7490101,"Serviços de tradução, interpretação e similares"
22296587000160,7711000,Locação de automóveis sem condutor
22296587000160,8211300,Serviços combinados de escritório e apoio administrativo
22296587000160,8219901,Fotocópias
22296587000160,8219999,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente
22296587000160,8220200,Atividades de teleatendimento
22296587000160,8230001,"Serviços de organização de feiras, congressos, exposições e festas"
22296587000160,8599603,Treinamento em informática
22296587000160,8599604,Treinamento em desenvolvimento profissional e gerencial
22296587000160,8599605,Cursos preparatórios para concursos
23433233000183,7319099,Outras atividades de publicidade não especificadas anteriormente
23433233000183,4763604,"Comércio varejista de artigos de caça, pesca e camping"
65242349000185,0,
12467323000179,1813001,Impressão de material para uso publicitário
12467323000179,1813099,Impressão de material para outros usos
12467323000179,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
12467323000179,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
12467323000179,4761001,Comércio varejista de livros
12467323000179,4763601,Comércio varejista de brinquedos e artigos recreativos
12467323000179,4781400,Comércio varejista de artigos do vestuário e acessórios
12467323000179,4783102,Comércio varejista de artigos de relojoaria
12467323000179,4789001,"Comércio varejista de suvenires, bijuterias e artesanatos"
12467323000179,4789099,Comércio varejista de outros produtos não especificados anteriormente
12467323000179,8219901,Fotocópias
08464991000175,4221904,Construção de estações e redes de telecomunicações
08464991000175,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
08464991000175,4752100,Comércio varejista especializado de equipamentos de telefonia e comunicação
08464991000175,6110803,Serviços de comunicação multimídia - SCM
08464991000175,6141800,Operadoras de televisão por assinatura por cabo
08464991000175,6142600,Operadoras de televisão por assinatura por microondas
08464991000175,6209100,"Suporte técnico, manutenção e outros serviços em tecnologia da informação"
13749564000173,1813099,Impressão de material para outros usos
13749564000173,3900500,Descontaminação e outros serviços de gestão de resíduos
13749564000173,4721103,Comércio varejista de laticínios e frios
13749564000173,4722901,Comércio varejista de carnes - açougues
13749564000173,4723700,Comércio varejista de bebidas
13749564000173,4724500,Comércio varejista de hortifrutigranjeiros
13749564000173,4729699,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente
13749564000173,4744001,Comércio varejista de ferragens e ferramentas
13749564000173,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
13749564000173,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
13749564000173,4754701,Comércio varejista de móveis
13749564000173,4755502,Comercio varejista de artigos de armarinho
13749564000173,4755503,"Comercio varejista de artigos de cama, mesa e banho"
13749564000173,4759899,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente
13749564000173,4761003,Comércio varejista de artigos de papelaria
13749564000173,4763601,Comércio varejista de brinquedos e artigos recreativos
13749564000173,4763602,Comércio varejista de artigos esportivos
13749564000173,4763604,"Comércio varejista de artigos de caça, pesca e camping"
13749564000173,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"
13749564000173,4782201,Comércio varejista de calçados
13749564000173,4784900,Comércio varejista de gás liqüefeito de petróleo (GLP)
13749564000173,4789005,Comércio varejista de produtos saneantes domissanitários
13749564000173,6619302,Correspondentes de instituições financeiras
13749564000173,8219901,Fotocópias
13749564000173,8219999,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente
13749564000173,8291100,Atividades de cobranças e informações cadastrais
14396051000199,1411801,Confecção de roupas íntimas
14396051000199,4781400,Comércio varejista de artigos do vestuário e acessórios
14396051000199,9529199,Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente
14396051000199,1412601,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida"
02337635000104,6202300,Desenvolvimento e licenciamento de programas de computador customizáveis
02337635000104,6203100,Desenvolvimento e licenciamento de programas de computador não-customizáveis
02337635000104,6204000,Consultoria em tecnologia da informação
02337635000104,6209100,"Suporte técnico, manutenção e outros serviços em tecnologia da informação"
02337635000104,6920602,Atividades de consultoria e auditoria contábil e tributária
02337635000104,7020400,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica"
02337635000104,8299799,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
02337635000104,8599604,Treinamento em desenvolvimento profissional e gerencial
22181638000109,5812302,Edição de jornais não diários
22181638000109,5813100,Edição de revistas
22181638000109,6399200,Outras atividades de prestação de serviços de informação não especificadas anteriormente
22181638000109,7311400,Agências de publicidade
22181638000109,7319002,Promoção de vendas
22181638000109,7420001,"Atividades de produção de fotografias, exceto aérea e submarina"
22181638000109,7420004,Filmagem de festas e eventos
22181638000109,7721700,Aluguel de equipamentos recreativos e esportivos
22181638000109,7739003,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes"
22181638000109,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador"
22181638000109,8230001,"Serviços de organização de feiras, congressos, exposições e festas"
22181638000109,8599604,Treinamento em desenvolvimento profissional e gerencial
22181638000109,8599605,Cursos preparatórios para concursos
07578141000135,4541203,Comércio a varejo de motocicletas e motonetas novas
07578141000135,4543900,Manutenção e reparação de motocicletas e motonetas
07578141000135,4541204,Comércio a varejo de motocicletas e motonetas usadas
07578141000135,4763603,Comércio varejista de bicicletas e triciclos; peças e acessórios
08303485000102,0,
01260820000185,1813001,Impressão de material para uso publicitário
01260820000185,1813099,Impressão de material para outros usos
01260820000185,3319800,Manutenção e reparação de equipamentos e produtos não especificados anteriormente
01260820000185,4321500,Instalação e manutenção elétrica
01260820000185,4713002,"Lojas de variedades, exceto lojas de departamentos ou magazines"
01260820000185,4742300,Comércio varejista de material elétrico
01260820000185,4751202,Recarga de cartuchos para equipamentos de informática
01260820000185,4752100,Comércio varejista especializado de equipamentos de telefonia e comunicação
01260820000185,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
01260820000185,4754701,Comércio varejista de móveis
01260820000185,4756300,Comércio varejista especializado de instrumentos musicais e acessórios
01260820000185,4761003,Comércio varejista de artigos de papelaria
01260820000185,4789007,Comércio varejista de equipamentos para escritório
01260820000185,7319099,Outras atividades de publicidade não especificadas anteriormente
01260820000185,7733100,Aluguel de máquinas e equipamentos para escritórios
01260820000185,9511800,Reparação e manutenção de computadores e de equipamentos periféricos
22135644000120,4732600,Comércio varejista de lubrificantes
03691012000106,4754702,Comércio varejista de artigos de colchoaria
03691012000106,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
12967297000148,4321500,Instalação e manutenção elétrica
12967297000148,4322301,"Instalações hidráulicas, sanitárias e de gás"
12967297000148,4530705,Comércio a varejo de pneumáticos e câmaras-de-ar
12967297000148,4635401,Comércio atacadista de água mineral
12967297000148,4681801,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re"
12967297000148,4732600,Comércio varejista de lubrificantes
12967297000148,4742300,Comércio varejista de material elétrico
12967297000148,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
12967297000148,4930203,Transporte rodoviário de produtos perigosos
12967297000148,7120100,Testes e análises técnicas
12967297000148,8292000,Envasamento e empacotamento sob contrato
12967297000148,8299701,"Medição de consumo de energia elétrica, gás e água"
18800804000130,0,
27054061000198,2621300,Fabricação de equipamentos de informática
27054061000198,4613300,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens"
27054061000198,4645101,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios"
27054061000198,4647801,Comércio atacadista de artigos de escritório e de papelaria
27054061000198,4651601,Comércio atacadista de equipamentos de informática
27054061000198,4651602,Comércio atacadista de suprimentos para informática
27054061000198,4652400,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
27054061000198,4664800,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
27054061000198,4672900,Comércio atacadista de ferragens e ferramentas
27054061000198,4744001,Comércio varejista de ferragens e ferramentas
27054061000198,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
27054061000198,4754701,Comércio varejista de móveis
27054061000198,4761003,Comércio varejista de artigos de papelaria
27054061000198,6203100,Desenvolvimento e licenciamento de programas de computador não-customizáveis
28770537000230,0,
29397041000145,4744001,Comércio varejista de ferragens e ferramentas
29397041000145,4744003,Comércio varejista de materiais hidráulicos
29397041000145,4744099,Comércio varejista de materiais de construção em geral
29397041000145,4752100,Comércio varejista especializado de equipamentos de telefonia e comunicação
29397041000145,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
29397041000145,4754703,Comércio varejista de artigos de iluminação
29397041000145,7112000,Serviços de engenharia
29397041000145,8020001,Atividades de monitoramento de sistemas de segurança eletrônico
29397041000145,8599699,Outras atividades de ensino não especificadas anteriormente
35039362000170,4520001,Serviços de manutenção e reparação mecânica de veículos automotores
35039362000170,4520002,Serviços de lanternagem ou funilaria e pintura de veículos automotores
35039362000170,4530701,Comércio por atacado de peças e acessórios novos para veículos automotores
35039362000170,4530705,Comércio a varejo de pneumáticos e câmaras-de-ar
35039362000170,4732600,Comércio varejista de lubrificantes
36961384000156,4511101,"Comércio a varejo de automóveis, camionetas e utilitários novos"
36961384000156,4530702,Comércio por atacado de pneumáticos e câmaras-de-ar
36961384000156,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores
36961384000156,4541206,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas
36961384000156,4642702,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho
36961384000156,4649499,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
36961384000156,4651601,Comércio atacadista de equipamentos de informática
36961384000156,4652400,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
36961384000156,4661300,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
36961384000156,4663000,Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças
36961384000156,4672900,Comércio atacadista de ferragens e ferramentas
36961384000156,4686902,Comércio atacadista de embalagens
36961384000156,4692300,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários"
36961384000156,4742300,Comércio varejista de material elétrico
36961384000156,4744003,Comércio varejista de materiais hidráulicos
36961384000156,4744099,Comércio varejista de materiais de construção em geral
36961384000156,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
36961384000156,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
36961384000156,4754701,Comércio varejista de móveis
36961384000156,4755502,Comercio varejista de artigos de armarinho
36961384000156,4755503,"Comercio varejista de artigos de cama, mesa e banho"
36961384000156,4756300,Comércio varejista especializado de instrumentos musicais e acessórios
36961384000156,4759801,"Comércio varejista de artigos de tapeçaria, cortinas e persianas"
36961384000156,4759899,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente
36961384000156,4763601,Comércio varejista de brinquedos e artigos recreativos
36961384000156,4763602,Comércio varejista de artigos esportivos
36961384000156,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"
36961384000156,4773300,Comércio varejista de artigos médicos e ortopédicos
36961384000156,4781400,Comércio varejista de artigos do vestuário e acessórios
36961384000156,4782201,Comércio varejista de calçados
36961384000156,4789005,Comércio varejista de produtos saneantes domissanitários
22512453000130,2212900,Reforma de pneumáticos usados
22512453000130,4520001,Serviços de manutenção e reparação mecânica de veículos automotores
22512453000130,4520002,Serviços de lanternagem ou funilaria e pintura de veículos automotores
22512453000130,4520004,Serviços de alinhamento e balanceamento de veículos automotores
22512453000130,4520003,Serviços de manutenção e reparação elétrica de veículos automotores
05861160000149,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores
05861160000149,4520004,Serviços de alinhamento e balanceamento de veículos automotores
05861160000149,4520001,Serviços de manutenção e reparação mecânica de veículos automotores
05861160000149,4732600,Comércio varejista de lubrificantes
18361875000184,4321500,Instalação e manutenção elétrica
18361875000184,4399103,Obras de alvenaria
18361875000184,4742300,Comércio varejista de material elétrico
18361875000184,4744001,Comércio varejista de ferragens e ferramentas
18361875000184,4744003,Comércio varejista de materiais hidráulicos
18361875000184,4744004,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas"
18361875000184,4744005,Comércio varejista de materiais de construção não especificados anteriormente
18361875000184,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes"
18361875000184,7732202,Aluguel de andaimes
29979036000140,0,
15703445000105,5611201,Restaurantes e similares
00703157000183,9493600,Atividades de organizações associativas ligadas à cultura e à arte
00703157000183,9499500,Atividades associativas não especificadas anteriormente
01478918000103,4763601,Comércio varejista de brinquedos e artigos recreativos
01478918000103,4721104,"Comércio varejista de doces, balas, bombons e semelhantes"
01527405000145,4619200,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
01527405000145,5812301,Edição de jornais diários
01527405000145,5812302,Edição de jornais não diários
01527405000145,5813100,Edição de revistas
01527405000145,5911102,Produção de filmes para publicidade
01527405000145,6391700,Agências de notícias
01527405000145,7319002,Promoção de vendas
01527405000145,7319004,Consultoria em publicidade
01527405000145,7490101,"Serviços de tradução, interpretação e similares"
01527405000145,8599604,Treinamento em desenvolvimento profissional e gerencial
01527405000145,8599605,Cursos preparatórios para concursos
01527405000145,8599699,Outras atividades de ensino não especificadas anteriormente
01527405000145,9002701,"Atividades de artistas plásticos, jornalistas independentes e escritores"
01527405000145,9101500,Atividades de bibliotecas e arquivos
09067292000154,4924800,Transporte escolar
09067292000154,4752100,Comércio varejista especializado de equipamentos de telefonia e comunicação
09067292000154,4789001,"Comércio varejista de suvenires, bijuterias e artesanatos"
09067292000154,1821100,Serviços de pré-impressão
09067292000154,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
09067292000154,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
09067292000154,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal"
09067292000154,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
02478937000100,3314712,Manutenção e reparação de tratores agrícolas
02478937000100,3314717,"Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores"
02478937000100,4520001,Serviços de manutenção e reparação mecânica de veículos automotores
02478937000100,4520002,Serviços de lanternagem ou funilaria e pintura de veículos automotores
02478937000100,4520003,Serviços de manutenção e reparação elétrica de veículos automotores
02478937000100,4520004,Serviços de alinhamento e balanceamento de veículos automotores
02478937000100,4520006,Serviços de borracharia para veículos automotores
02478937000100,4520007,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores"
02478937000100,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores
02478937000100,4530704,Comércio a varejo de peças e acessórios usados para veículos automotores
02478937000100,4681805,Comércio atacadista de lubrificantes
02478937000100,4732600,Comércio varejista de lubrificantes
02478937000100,4741500,Comércio varejista de tintas e materiais para pintura
02478937000100,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal."
02478937000100,5229002,Serviços de reboque de veículos
02478937000100,7731400,Aluguel de máquinas e equipamentos agrícolas sem operador
06981180000116,3513100,Comércio atacadista de energia elétrica
06981180000116,4221902,Construção de estações e redes de distribuição de energia elétrica
17281106000103,0,
34028316001509,4785799,Comércio varejista de outros artigos usados
34028316001509,5211701,Armazéns gerais - emissão de warrant
34028316001509,5212500,Carga e descarga
34028316001509,5250801,Comissaria de despachos
34028316001509,5250803,"Agenciamento de cargas, exceto para o transporte marítimo"
34028316001509,5250805,Operador de transporte multimodal - OTM
34028316001509,6619302,Correspondentes de instituições financeiras
34028316001509,6619399,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente
34028316001509,7740300,Gestão de ativos intangíveis não-financeiros
34028316001509,5211799,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis"
34028316001509,4713004,"Lojas de departamentos ou magazines, exceto lojas francas (Duty free)"
10662871000124,1813001,Impressão de material para uso publicitário
10662871000124,1821100,Serviços de pré-impressão
10662871000124,2542000,"Fabricação de artigos de serralheria, exceto esquadrias"
06242048000192,1813001,Impressão de material para uso publicitário
06242048000192,1813099,Impressão de material para outros usos
06242048000192,1821100,Serviços de pré-impressão
06242048000192,1822901,Serviços de encadernação e plastificação
06242048000192,1822999,"Serviços de acabamentos gráficos, exceto encadernação e plastificação"
06242048000192,3299004,Fabricação de painéis e letreiros luminosos
06242048000192,4329101,Instalação de painéis publicitários
06242048000192,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
06242048000192,7319001,Criação de estandes para feiras e exposições
06242048000192,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes"
06242048000192,7732202,Aluguel de andaimes
06242048000192,8219901,Fotocópias
86388238000151,3329501,Serviços de montagem de móveis de qualquer material
86388238000151,4742300,Comércio varejista de material elétrico
86388238000151,4744003,Comércio varejista de materiais hidráulicos
86388238000151,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
86388238000151,4752100,Comércio varejista especializado de equipamentos de telefonia e comunicação
86388238000151,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
86388238000151,4759899,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente
86388238000151,4763601,Comércio varejista de brinquedos e artigos recreativos
86388238000151,4763603,Comércio varejista de bicicletas e triciclos; peças e acessórios
86388238000151,9511800,Reparação e manutenção de computadores e de equipamentos periféricos
14022558000182,4744099,Comércio varejista de materiais de construção em geral
14022558000182,4744003,Comércio varejista de materiais hidráulicos
10888334000105,4321500,Instalação e manutenção elétrica
10888334000105,4742300,Comércio varejista de material elétrico
10888334000105,4751202,Recarga de cartuchos para equipamentos de informática
10888334000105,4754701,Comércio varejista de móveis
10888334000105,4755503,"Comercio varejista de artigos de cama, mesa e banho"
10888334000105,4781400,Comércio varejista de artigos do vestuário e acessórios
10888334000105,9511800,Reparação e manutenção de computadores e de equipamentos periféricos
00478688000110,0,
08963471000107,0,
14928215000181,4330404,Serviços de pintura de edifícios em geral
14928215000181,3321000,Instalação de máquinas e equipamentos industriais
28845215000122,5811500,Edição de livros
28845215000122,5812302,Edição de jornais não diários
28845215000122,5912099,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente"
28845215000122,1813001,Impressão de material para uso publicitário
28845215000122,8219901,Fotocópias
28845215000122,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
28845215000122,7319002,Promoção de vendas
28845215000122,5813100,Edição de revistas
28845215000122,8299703,"Serviços de gravação de carimbos, exceto confecção"
28845215000122,3299002,"Fabricação de canetas, lápis e outros artigos para escritório"
28845215000122,8230001,"Serviços de organização de feiras, congressos, exposições e festas"
19230077000186,0,
35800202000100,9521500,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico
35800202000100,3314719,"Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo"
35800202000100,3314707,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial
35800202000100,3314706,"Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas"
35800202000100,3314710,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente
35800202000100,3321000,Instalação de máquinas e equipamentos industriais
35800202000100,4757100,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação"
36487961000110,4321500,Instalação e manutenção elétrica
36487961000110,4744001,Comércio varejista de ferragens e ferramentas
36487961000110,4744099,Comércio varejista de materiais de construção em geral
00360305337842,0,
07723866000170,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar
07723866000170,5223100,Estacionamento de veículos
07723866000170,5611203,"Lanchonetes, casas de chá, de sucos e similares"
11979483000134,4763601,Comércio varejista de brinquedos e artigos recreativos
11979483000134,4789001,"Comércio varejista de suvenires, bijuterias e artesanatos"
11979483000134,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
11979483000134,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
11979483000134,4781400,Comércio varejista de artigos do vestuário e acessórios
11979483000134,4783102,Comércio varejista de artigos de relojoaria
11979483000134,8219901,Fotocópias
11979483000134,4763602,Comércio varejista de artigos esportivos
11979483000134,4782201,Comércio varejista de calçados
11979483000134,4759899,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente
11979483000134,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"
