uf,cep,cnpj,pais,email,porte,bairro,numero,ddd_fax,municipio,logradouro,cnae_fiscal,codigo_pais,complemento,codigo_porte,razao_social,nome_fantasia,capital_social,ddd_telefone_1,ddd_telefone_2,opcao_pelo_mei,descricao_porte,codigo_municipio,natureza_juridica,situacao_especial,opcao_pelo_simples,situacao_cadastral,data_opcao_pelo_mei,data_exclusao_do_mei,cnae_fiscal_descricao,codigo_municipio_ibge,data_inicio_atividade,data_situacao_especial,data_opcao_pelo_simples,data_situacao_cadastral,nome_cidade_no_exterior,codigo_natureza_juridica,data_exclusao_do_simples,motivo_situacao_cadastral,ente_federativo_responsavel,identificador_matriz_filial,qualificacao_do_responsavel,descricao_situacao_cadastral,descricao_tipo_de_logradouro,descricao_motivo_situacao_cadastral,descricao_identificador_matriz_filial
MG,39680000,08464991000175,,,MICRO EMPRESA,CENTRO,764,3335162220,CAPELINHA,JACINTO JOSE RIBEIRO,6190601,,LETRA A,1,STIW SISTEMA DE TELECOMUNICACOES E INFORMATICA WIRELESS LTDA,,500000,3335162220,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Provedores de acesso às redes de comunicações,3112307,2006-11-07,,2023-01-01,2006-11-07,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,13749564000173,,,MICRO EMPRESA,MARIA LUCIA,215,,CAPELINHA,BELO HORIZONTE,4711302,,,1,CELINA APARECIDA FERNANDES ARAUJO,,30000,3335161108,3335162110,False,,4245,Empresário (Individual),,True,2,,,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",3112307,2011-06-02,,2011-06-02,2011-06-02,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,14396051000199,,,MICRO EMPRESA,CENTRO,60,,CAPELINHA,SAO FRANCISCO DE ASSIS,1412602,,,1,NADIR GOMES 73442372615,,1,3335162632,,True,,4245,Empresário (Individual),,True,2,2011-10-03,,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",3112307,2011-10-03,,2011-10-03,2011-10-03,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39600000,02337635000104,,,EMPRESA DE PEQUENO PORTE,NOVA TERRA,205,,ARACUAI,DAS ROSAS,6920601,,APT 202,3,FGA CONTABILIDADE LTDA,,94000,3835213107,,False,,4067,Sociedade Empresária Limitada,,True,2,,,Atividades de contabilidade,3103405,1998-01-28,,2007-07-01,2005-11-03,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,22181638000109,,,MICRO EMPRESA,RESIDENCIAL MORADA NOVA,55,,CAPELINHA,FORTALEZA,6319400,,,1,TUDO MIDIA COMUNICACOES E EVENTOS LTDA,TUDO MIDIA COMUNICACOES E EVENTOS,10000,3391064397,3335163084,False,,4245,Sociedade Empresária Limitada,,True,2,2015-04-02,2023-07-31,"Portais, provedores de conteúdo e outros serviços de informação na internet",3112307,2015-04-02,,2015-04-02,2015-04-02,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,07578141000135,,,EMPRESA DE PEQUENO PORTE,PLANALTO,1387,,CAPELINHA,BR 120 KM 115.300,4541206,,,3,COMERCIO MOTO PECAS PAI & FILHO LTDA,SUPER MOTO PECAS,50000,3335164251,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas,3112307,2005-08-24,,2007-07-01,2005-08-24,,2062,,0,,1,49,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,30750340,08303485000102,,,EMPRESA DE PEQUENO PORTE,ALTO CAICARAS,71,3133042870,BELO HORIZONTE,ALCIDES ROMUALDO DA SILVA,7311400,,,3,BH DIAGRAMACAO DE TEXTOS E PUBLICACOES LTDA,BH PUBLICACOES,25000,3133042863,,False,,4123,Sociedade Empresária Limitada,,False,2,,,Agências de publicidade,3106200,2006-09-01,,2007-07-01,2006-09-01,,2062,2011-08-31,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,01260820000185,,,MICRO EMPRESA,CENTRO,111,,CAPELINHA,DR HERMELINDO,4751201,,SALA C- 2 ANDAR,1,F.F EMPREENDIMENTOS LTDA,INFORCENTER,5000,,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista especializado de equipamentos e suprimentos de informática,3112307,1996-06-20,,2007-07-01,2005-07-16,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,22135644000120,,,EMPRESA DE PEQUENO PORTE,CENTRO,336,3335161464,CAPELINHA,GOVERNADOR VALADARES,4731800,,,3,PANORAMA AUTO POSTO LTDA,,120000,3335161464,,,,4245,Sociedade Empresária Limitada,,,2,,,Comércio varejista de combustíveis para veículos automotores,3112307,1986-06-24,,,2005-09-24,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,03691012000106,,,EMPRESA DE PEQUENO PORTE,CENTRO,85,,CAPELINHA,RIO BRANCO,4754701,,,3,MOVEIS E ELETRODOMESTICO MULTIMARCAS LTDA,MULTI MARCAS,300000,3335161535,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de móveis,3112307,2000-01-06,,2007-07-01,2005-07-22,,2062,,0,,1,5,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,12967297000148,,,EMPRESA DE PEQUENO PORTE,PLANALTO,315,3335164216,CAPELINHA,JOSE PRISCO,4784900,,,3,RODRIGUES DISTRIBUIDORA DE GAS LTDA,DISTRIBUIDORA RODRIGAS,50000,3335161462,,,,4245,Sociedade Empresária Limitada,,,2,,,Comércio varejista de gás liqüefeito de petróleo (GLP),3112307,2010-12-03,,,2010-12-03,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,18800804000130,,,MICRO EMPRESA,BOUGANVILLE,343,,CAPELINHA,DOS CRISANTEMOS,4330404,,,1,CARLOS CORDEIRO DE OLIVEIRA 56569947672,COCA PINTURAS,2000,3335162900,,True,,4245,Empresário (Individual),,True,2,2013-09-03,,Serviços de pintura de edifícios em geral,3112307,2013-09-03,,2013-09-03,2013-09-03,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,35660970,27054061000198,,,MICRO EMPRESA,DA PROVIDENCIA,812,,PARA DE MINAS,ITAQUERA,4751201,,,1,LUDMILA APARECIDA DE SOUZA,,30000,3732370648,,False,,4941,Empresário (Individual),,False,2,2017-02-07,2018-05-31,Comércio varejista especializado de equipamentos e suprimentos de informática,3147105,2017-02-07,,2017-02-07,2017-02-07,,2135,2022-12-31,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,28770537000230,,,EMPRESA DE PEQUENO PORTE,PLANALTO,533,,CAPELINHA,ANEL RODOVIARIO,7711000,,,3,F A DE MACEDO LTDA,UNIDAS,30000,3835272121,,False,,4245,Sociedade Empresária Limitada,,False,2,,,Locação de automóveis sem condutor,3112307,2020-08-17,,2017-10-02,2020-08-17,,2062,2020-12-31,0,,2,49,ATIVA,AVENIDA,SEM MOTIVO,FILIAL
MG,39680000,29397041000145,,,EMPRESA DE PEQUENO PORTE,PLANALTO,462,,CAPELINHA,MANOEL DE SOUZA,4742300,,,3,IMV ENGENHARIA E COMERCIO DE MATERIAL ELETRICO LTDA,FAMMA LOJA ELETRICA,95000,3391999051,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de material elétrico,3112307,2018-01-10,,2018-01-10,2018-01-10,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,35039362000170,,,EMPRESA DE PEQUENO PORTE,PLANALTO,S/N,3335163447,CAPELINHA,"BR 120 KM 49,1",4530703,,,3,TOPCAR CENTRO AUTOMOTIVO LTDA,TOPCAR CENTRO AUTOMOTIVO,150000,3391971361,3335163447,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio a varejo de peças e acessórios novos para veículos automotores,3112307,2019-10-01,,2019-10-01,2019-10-01,,2062,,0,,1,49,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,31540270,36961384000156,,,EMPRESA DE PEQUENO PORTE,JARDIM LEBLON,29,,BELO HORIZONTE,SANTA CRUZ DO ESCALVADO,5620104,,,3,F&M REPRESENTACOES LTDA,F&M REPRESENTACOES,300000,3175547270,,False,,4123,Sociedade Empresária Limitada,,True,2,2020-04-18,2021-12-31,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,3106200,2020-04-18,,2020-04-18,2020-04-18,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,22512453000130,,,MICRO EMPRESA,PLANALTO,600,,CAPELINHA,LOC ANEL RODOVIARIO,4530705,,,1,PNEUS CAP LTDA,,70000,,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio a varejo de pneumáticos e câmaras-de-ar,3112307,1986-11-11,,2007-07-01,2005-11-03,,2062,,0,,1,49,ATIVA,,SEM MOTIVO,MATRIZ
MG,39680000,05861160000149,,,MICRO EMPRESA,PLANALTO,1160,3335164216,CAPELINHA,RIO BRANCO,4530705,,,1,IVAN CEZAR DE OLIVEIRA VIANA,,30000,3335161151,3335164216,False,,4245,Empresário (Individual),,True,2,,,Comércio a varejo de pneumáticos e câmaras-de-ar,3112307,2003-09-03,,2007-07-01,2005-11-03,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,18361875000184,,,EMPRESA DE PEQUENO PORTE,CENTRO,415,3335164216,CAPELINHA,GOVERNADOR VALADARES,4744099,,,3,ARAUJO & QUADROS MATERIAIS DE CONSTRUCAO LTDA,CONSTRULIDER MATERIAIS DE CONSTRUCAO,60000,3335164115,,False,,4245,Sociedade Empresária Limitada,,False,2,,,Comércio varejista de materiais de construção em geral,3112307,2013-06-25,,2013-06-25,2013-06-25,,2062,2013-06-25,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
DF,70070946,29979036000140,,,DEMAIS,ASA SUL,6,6133134351,BRASILIA,SAUS QUADRA 02 BLOCO O,8430200,,ANDAR,5,INSTITUTO NACIONAL DO SEGURO SOCIAL,COORDENACAO GERAL DE ORCAMENTO FINANCAS E CONTABILIDADE,0,6133134509,,,,9701,Autarquia Federal,,,2,,,Seguridade social obrigatória,5300108,1978-04-13,,,2005-11-03,,1104,,0,UNIÃO,1,16,ATIVA,SETOR,SEM MOTIVO,MATRIZ
MG,39680000,15703445000105,,,MICRO EMPRESA,CENTRO,271,,CAPELINHA,GETULIO VARGAS,5510801,,: A;,1,HOTEL DO MARINHO LTDA,,200000,3335161214,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Hotéis,3112307,2012-06-06,,2012-06-06,2012-06-06,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
DF,70830010,00703157000183,,,DEMAIS,ASA NORTE,S/N,612016027,BRASILIA,SGAN 601,9430800,,CONJ N,5,CONFEDERACAO NACIONAL DE MUNICIPIOS,CNM,0,5121016000,,,,9701,Associação Privada,,,2,,,Atividades de associações de defesa de direitos sociais,5300108,1983-07-26,,,2005-08-27,,3999,,0,,1,16,ATIVA,QUADRA,SEM MOTIVO,MATRIZ
MG,39680000,01478918000103,,,MICRO EMPRESA,CENTRO,595,,CAPELINHA,DR HERMELINDO,8230001,,,1,ZAN LOPES DECORACAO E BUFFET LTDA,FESTAS E CIA,10000,3335163105,3391048543,False,,4245,Sociedade Empresária Limitada,,True,2,,,"Serviços de organização de feiras, congressos, exposições e festas",3112307,1996-10-11,,2014-01-01,2005-11-03,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,30190000,01527405000145,,,EMPRESA DE PEQUENO PORTE,CENTRO,233,,BELO HORIZONTE,AUGUSTO DE LIMA,7311400,,CONJ 1220,3,W&M PUBLICIDADE LTDA,,450000,3132269264,,False,,4123,Sociedade Empresária Limitada,,True,2,,,Agências de publicidade,3106200,1996-11-08,,2020-01-01,2005-10-14,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,09067292000154,,,EMPRESA DE PEQUENO PORTE,CENTRO,200,,CAPELINHA,GOVERNADOR VALADARES,4781400,,,3,ANDERSON DE PAULA GOMES,,15000,3398091444,,False,,4245,Empresário (Individual),,True,2,2022-01-01,2022-10-31,Comércio varejista de artigos do vestuário e acessórios,3112307,2007-06-27,,2020-01-01,2007-06-27,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,02478937000100,,,EMPRESA DE PEQUENO PORTE,VISTA ALEGRE,1055,,CAPELINHA,ANEL RODOVIARIO,4530705,,,3,ALAIR GOMES DA SILVA CPF 368.341.066-34,CARECA PNEUS,0,3335161792,,False,,4245,Empresário (Individual),,False,2,,,Comércio a varejo de pneumáticos e câmaras-de-ar,3112307,1998-04-08,,2020-01-01,2005-03-25,,2135,2020-12-31,0,,1,50,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,30190924,06981180000116,,,DEMAIS,SANTO AGOSTINHO,1200,,BELO HORIZONTE,BARBACENA,3514000,,ANDAR 17 ALA A1,5,CEMIG DISTRIBUICAO S.A,CEMIG D,6284312600,3135067500,,,,4123,Sociedade Anônima Aberta,,,2,,,Distribuição de energia elétrica,3106200,2004-09-15,,,,,2046,,0,,1,16,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,30330270,17281106000103,,,DEMAIS,SANTO ANTONIO,525,,BELO HORIZONTE,MAR DE ESPANHA,3600601,,,5,COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG,COPASA MG,3402385700,3132501548,,,,4123,Sociedade de Economia Mista,,,2,,,"Captação, tratamento e distribuição de água",3106200,1966-08-24,,,2005-11-03,,2038,,0,,1,16,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,30130003,34028316001509,,,DEMAIS,CENTRO,1270,,BELO HORIZONTE,AFONSO PENA,5310501,,,5,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,SUPERINTENDENCIA ESTADUAL MG,3403457800,3134310675,,,,4123,Empresa Pública,,,2,,,Atividades do Correio Nacional,3106200,1970-02-13,,,2005-11-03,,2011,,0,,2,16,ATIVA,AVENIDA,SEM MOTIVO,FILIAL
MG,39680000,10662871000124,,,EMPRESA DE PEQUENO PORTE,CENTRO,801,3335162335,CAPELINHA,RIO BRANCO,3299004,,,3,ARTTEC COMUNICACAO VISUAL LTDA,ARTTEC COMUNICACAO VISUAL,50000,3335162335,,False,,4245,Sociedade Empresária Limitada,,True,2,2019-01-01,2019-12-31,Fabricação de painéis e letreiros luminosos,3112307,2009-02-26,,2009-02-26,2009-02-26,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,06242048000192,,,EMPRESA DE PEQUENO PORTE,MARIA LUCIA,194,3335164216,CAPELINHA,EUNESIO DIAS MAGALHAES,2542000,,,3,UAI PLACAS LTDA,UAIPLACAS,110000,3335163260,3335161151,False,,4245,Sociedade Empresária Limitada,,True,2,,,"Fabricação de artigos de serralheria, exceto esquadrias",3112307,2004-05-05,,2007-07-01,,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,86388238000151,,,EMPRESA DE PEQUENO PORTE,CENTRO,32,,CAPELINHA,SAO VICENTE,4754701,,,3,MERIDIONAL ELETRO LTDA,MERIDIONAL ELETRO MOVEIS,200000,3335164425,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de móveis,3112307,1994-03-28,,2007-07-01,2005-09-03,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,14022558000182,,,MICRO EMPRESA,CENTRO,465,3335163357,CAPELINHA,DOUTOR HERMELINDO,4742300,,,1,MARIA JOSE LOPES CORDEIRO,R M MATERIAIS ELETRICOS,60000,3335163357,,False,,4245,Empresário (Individual),,True,2,2011-07-28,2012-09-30,Comércio varejista de material elétrico,3112307,2011-07-28,,2011-07-28,2011-07-28,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,10888334000105,,,MICRO EMPRESA,CENTRO,50,,CAPELINHA,SAO VICENTE,4751201,,LETRA A,1,JJ CARTUCHOS LTDA,,30000,3335163419,3391980119,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista especializado de equipamentos e suprimentos de informática,3112307,2009-06-09,,2009-06-09,2009-06-09,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,00478688000110,,,MICRO EMPRESA,CENTRO,480,3335161806,CAPELINHA,RUA DAS FLORES,4724500,,,1,VALBER NATALINO NEVES,VERDURA & COMPANHIA,0,3335161767,3335161806,False,,4245,Empresário (Individual),,True,2,,,Comércio varejista de hortifrutigranjeiros,3112307,1995-03-14,,2007-07-01,2004-10-09,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,08963471000107,,,DEMAIS,CENTRO,65,3335164462,CAPELINHA,DO POVO,6912500,,,5,PRIMEIRO TABELIONATO DE NOTAS DE CAPELINHA,CARTORIO DO PRIMEIRO OFICIO DE NOTAS DE CAPELINHA,0,3335164462,3335161569,,,4245,Serviço Notarial e Registral (Cartório),,,2,,,Cartórios,3112307,2007-07-30,,,2007-07-30,,3034,,0,,1,32,ATIVA,PRACA,SEM MOTIVO,MATRIZ
MG,39680000,14928215000181,,,MICRO EMPRESA,PLANALTO,22,,CAPELINHA,GENTIL NEVES DE MACEDO,4781400,,CASA,1,VANIO RODRIGUES DE ALEXANDRIA 06742722690,,1000,3391111680,,True,,4245,Empresário (Individual),,True,2,2012-01-24,,Comércio varejista de artigos do vestuário e acessórios,3112307,2012-01-24,,2012-01-24,2012-01-24,,2135,,0,,1,50,ATIVA,TRAVESSA,SEM MOTIVO,MATRIZ
MG,39680000,28845215000122,,,MICRO EMPRESA,CENTRO,153,,CAPELINHA,GETULIO VARGAS,5819100,,ANDAR 02,1,LUIZ FERNANDO PIRES FIGUEIREDO 04072354694,LUIZ FERNANDO DESIGNER GRAFICO,15000,3391043222,,True,,4245,Empresário (Individual),,True,2,2017-10-11,,"Edição de cadastros, listas e de outros produtos gráficos",3112307,2017-10-11,,2017-10-11,2017-10-11,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,19230077000186,,,EMPRESA DE PEQUENO PORTE,CENTRO,18,,CAPELINHA,SAO VICENTE,1091102,,,3,VALDEIR LEOPOLDO NEVES- PADARIA,PADARIA SAO GERALDO,100000,,,False,,4245,Empresário (Individual),,True,2,,,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,3112307,1971-10-08,,2007-07-01,2004-12-24,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,35800202000100,,,MICRO EMPRESA,PLANALTO,748,,CAPELINHA,DOUTOR HERMELINDO,4322302,,,1,35.800.202 DORIVAL PEREIRA DOS SANTOS,REFRIGERACAO CAPELINHA,3000,3391247193,,True,,4245,Empresário (Individual),,True,2,2019-12-16,,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",3112307,2019-12-16,,2019-12-16,2019-12-16,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,36487961000110,,,MICRO EMPRESA,PIEDADE,739,,CAPELINHA,TANCREDO NEVES,4742300,,,1,ELETRO MAIS MATERIAL ELETRICO LTDA,ELETRO MAIS,60000,3391730069,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de material elétrico,3112307,2020-02-27,,2020-02-27,2020-02-27,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,00360305337842,,,DEMAIS,CENTRO,165,3132624340,CAPELINHA,GOVERNADOR VALADARES,6423900,,,5,CAIXA ECONOMICA FEDERAL,AGENCIA CAPELINHA/MG,68851000000,3132639800,3132639801,False,,4245,Empresa Pública,,False,2,,,Caixas econômicas,3112307,2008-06-13,,2007-07-01,2008-06-13,,2011,2007-07-01,0,,2,5,ATIVA,RUA,SEM MOTIVO,FILIAL
MG,39680000,07723866000170,,,MICRO EMPRESA,CENTRO,150,,CAPELINHA,OZANAN PIMENTA,4520005,,,1,JOSE VIANEI DE MELO,,9000,3335163079,,True,,4245,Empresário (Individual),,True,2,2013-01-01,,"Serviços de lavagem, lubrificação e polimento de veículos automotores",3112307,2005-12-05,,2007-07-01,2005-12-05,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,11979483000134,,,MICRO EMPRESA,MARIA LUCIA,446,3335164216,CAPELINHA,JOAO ALVES SAMPAIO,4761003,,,1,PATRICIA GOMES DOS SANTOS,PAPELARIA MARIA LUCIA,20000,3335161151,3335164216,False,,4245,Empresário (Individual),,True,2,,,Comércio varejista de artigos de papelaria,3112307,2010-05-20,,2020-01-01,2010-05-20,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,30180060,29186612000100,,,MICRO EMPRESA,BARRO PRETO,275,,BELO HORIZONTE,JUIZ DE FORA,8219999,,SALA 806,1,DIRETA CERTIFICACAO DIGITAL LTDA,DIRETA,3000,3125160662,,False,,4123,Sociedade Empresária Limitada,,True,2,,,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,3106200,2017-12-01,,2017-12-01,2017-12-01,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,02359316000108,,,EMPRESA DE PEQUENO PORTE,CENTRO,1120,,CAPELINHA,RIO BRANCO,4530703,,,3,AUTO PECAS NEVES & CORDEIRO LTDA,,110000,,,False,,4245,Sociedade Empresária Limitada,,False,2,,,Comércio a varejo de peças e acessórios novos para veículos automotores,3112307,1997-12-04,,2008-01-01,2002-08-10,,2062,2011-12-31,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
